Measurement Name :,run_1_light_7_12_23-583,,Generated On :,"12/07/2023, 12:15:25",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000583      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 050
Ref LED current   : 040
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
12.07.23 12:03:36,21.05,286.62,280.1,294.95,223.05,246.53,250.31,392.15,344.29,312.72,283.15,274.74,242.78,280.64,280.8,225.49,275.23,261.07,176.58,283.55,321.69,246.08,268.31,233.69,248.08,,23,969,35,26.08,969D6-(E1);
12.07.23 12:03:51,21.3,258.81,282.72,338.8,246.49,269.1,303.03,308.29,318.03,262.04,236.92,255.97,220.75,232.66,247.29,229.65,270.81,246.84,215.6,300.42,248.08,217.64,206.01,232.99,259.51,,23,969,35,26.12,969D6-(E1);
12.07.23 12:04:06,21.55,261.81,300.55,278.16,291.85,249.05,262.15,284.34,272.43,270.81,269.5,257.07,200.01,206.34,225.85,203.33,254.45,217.14,187.81,257.65,284,205.66,202.98,239.35,275.87,,23,969,35,26.15,969D6-(E1);
12.07.23 12:04:21,21.8,222.57,274.88,230.94,210.41,247.61,299.98,235.84,312.18,261.32,216.87,254.52,178.45,216.28,245.51,227.22,239.49,203.38,132.01,269.22,251.63,211.8,209.74,222.15,245.25,,23,969,35,26.19,969D6-(E1);
12.07.23 12:04:36,22.05,258.81,279.35,324.17,264.46,184.85,283.81,278.47,289.6,306.15,263.3,253.43,242.42,229.85,236.67,193.65,275.6,224.97,183.83,238.54,214.12,202.62,249.84,178.29,322.87,,23,969,35,26.23,969D6-(E1);
12.07.23 12:04:51,22.3,293.63,291.02,310.58,165.07,290.45,334.17,306.39,255.64,258.42,292.51,293.59,293.03,264.32,278.57,254.4,266.05,257.13,196.51,291.75,324.43,247.88,287.24,259.86,330.33,,23,969,35,26.26,969D6-(E1);
12.07.23 12:05:06,22.55,292.46,249.67,284.09,266.64,292.35,305.7,314.78,310.63,294.32,303.13,293.21,225.4,241.88,242.67,177.24,283.78,240.53,181.18,270.31,327.18,216.26,248.41,205.32,279.93,,23,969,35,26.28,969D6-(E1);
12.07.23 12:05:21,22.8,265.58,253.64,263.18,228.93,240.46,248.88,272.28,332.24,264.22,285.38,328.31,202.1,234.78,242.32,240.86,290.16,248.96,131.09,283.92,266.01,206.34,239.17,234.75,255.2,,23,969,35,26.31,969D6-(E1);
12.07.23 12:05:36,23.05,228.68,269.7,334.03,228.58,215.93,221.64,277.01,256.72,257.69,290.63,378.5,206.28,232.66,213.48,204.34,243.73,211.07,180.2,196.72,308.93,211.46,223.1,212.14,270.74,,23,969,35,26.34,969D6-(E1);
12.07.23 12:05:51,23.3,231.21,232.61,329.28,223.05,230.9,262.52,250.13,249.53,259.86,245.38,216.29,192.07,186.18,223.43,232.44,215.53,242.27,150.16,285.03,281.04,206.68,251.27,212.49,255.56,,23,969,35,26.37,969D6-(E1);
12.07.23 12:06:06,23.55,267.09,327.1,325.35,269.93,226.35,297.32,355.32,312.18,262.77,285.01,246.94,228.27,269.84,274.49,283.69,304.61,271.19,157.48,235.4,308.16,233.66,251.27,236.87,276.61,,23,969,35,26.41,969D6-(E1);
12.07.23 12:06:21,23.8,380.13,302.09,312.51,248.27,251.21,279.35,361,307.53,284.9,342.71,257.79,214.01,278.02,264.22,263.07,246.22,261.78,150.48,267.4,311.62,220.75,252.35,246.85,293.73,,23,969,35,26.45,969D6-(E1);
12.07.23 12:06:36,24.05,294.41,289.5,269.72,195.32,220.43,238.29,325.2,280.59,290.91,229.25,290.55,183.19,255.19,231.77,230.69,275.97,228.05,150.79,295.13,315.48,219.71,225.18,210.77,294.1,,23,969,35,26.48,969D6-(E1);
12.07.23 12:06:51,24.3,298.73,305.95,299.12,237.31,277.65,290.53,274.46,294.9,307.69,286.88,313.69,284.5,266.89,270.81,300.68,282.66,266.11,166.81,314.2,353.14,267.49,302.81,256.59,297.12,,23,969,35,26.51,969D6-(E1);
12.07.23 12:07:06,24.55,266.34,292.91,290.07,183.14,218.35,207.37,271.92,288.46,268.61,277.21,303.96,218.62,213.52,289.03,207.37,244.8,230.46,126.78,261.61,258.79,179.31,219.65,223.54,254.49,,23,969,35,26.55,969D6-(E1);
12.07.23 12:07:21,24.8,248.03,305.17,233.02,282.49,239.75,264.69,275.55,254.2,223.09,321.69,213.18,175.42,205.66,227.24,256.19,230.72,194.79,134.49,269.58,255.56,184.58,245.91,182.9,299.77,,23,969,35,26.58,969D6-(E1);
12.07.23 12:07:36,25.05,285.85,289.12,265.35,221.33,242.24,242.86,284.34,294.52,238.43,297.43,220.1,219.69,207.7,225.16,199.64,281.91,257.84,138.53,260.89,230.22,194.88,222.07,232.64,239.27,,23,969,35,26.59,969D6-(E1);
12.07.23 12:07:51,25.3,269.37,301.32,310.19,212.11,237.26,258.55,296.59,365.61,227.93,246.09,258.89,169.05,245.82,234.57,197.97,226.89,243.33,147.95,248.74,240.32,207.02,231.44,220.76,237.52,,23,969,35,26.64,969D6-(E1);
12.07.23 12:08:06,25.55,270.12,285.35,292.32,225.47,248.33,372.84,323.65,284.33,264.22,266.21,277.36,201.05,249.41,239.49,224.45,264.59,274.1,153.97,289.13,258.43,226.3,251.63,253.33,286.24,,23,969,35,26.66,969D6-(E1);
12.07.23 12:08:21,25.8,279.29,267.86,281.49,228.24,254.1,216.86,207.72,271.69,289.03,244.67,266.22,266.19,212.84,222.4,227.22,313.1,242.62,150.79,250.87,287.36,209.41,242.36,183.89,265.65,,23,969,35,26.72,969D6-(E1);
12.07.23 12:08:36,26.05,224.36,275.62,269.36,243.65,237.61,254.59,292.86,221.74,259.14,256.08,227.42,242.78,186.18,223.78,209.06,221.02,209.05,105.29,224.68,220.59,191.87,212.46,213.52,214.8,,23,969,35,26.73,969D6-(E1);
12.07.23 12:08:51,26.3,259.94,316.45,216.85,279.89,286.29,319.22,362.63,367.27,289.78,296.67,262.55,221.47,237.26,242.32,228.26,318.56,272.28,172.66,333.74,315.09,214.2,263.2,232.64,266.38,,23,969,35,26.76,969D6-(E1);
12.07.23 12:09:06,26.55,287.01,275.25,302.54,284.35,192.84,238.99,269.75,244.53,239.49,243.26,215.25,237.31,227.05,249.43,251.53,283.78,233.22,171.35,308.04,259.87,198.23,230.75,230.18,300.15,,23,969,35,26.8,969D6-(E1);
12.07.23 12:09:21,26.8,349.02,366.57,308.66,299.81,266.52,337.35,334.98,365.2,303.08,277.95,292.07,243.88,266.52,290.54,268.17,329.58,294.09,138.22,273.23,345.46,242.16,252.35,260.23,301.67,,23,969,35,26.83,969D6-(E1);
12.07.23 12:09:36,27.05,282.75,284.6,243.88,159.03,278.02,371.17,386.66,354.06,312.33,315.46,304.74,199.66,239.75,280.8,192.32,293.56,254.63,157.16,278.74,331.12,269.7,262.83,200.58,315.86,,23,969,35,26.87,969D6-(E1);
12.07.23 12:09:51,27.3,291.29,345.17,319.87,268.84,294.26,312.62,428.12,354.06,311.55,282.78,287.51,254.59,245.82,289.78,277.37,279.31,252.14,185.82,320.79,303.19,267.49,287.24,241.49,284.38,,23,969,35,26.89,969D6-(E1);
12.07.23 12:10:06,27.55,291.68,256.53,331.25,220.99,290.83,242.86,326.37,368.53,300.4,288.75,251.62,237.31,258.83,322.87,268.54,247.64,263.22,153.33,270.67,307.39,230.85,272.73,251.88,269.29,,23,969,35,26.93,969D6-(E1);
12.07.23 12:10:21,27.8,322.68,346.79,240.01,223.05,208.04,247.11,252.6,294.14,272.28,279.06,284.49,181.49,226,272.65,224.45,320.51,239.83,143.54,317.29,239.27,227.35,247.69,230.88,301.29,,23,969,35,26.97,969D6-(E1);
12.07.23 12:10:37,28.07,352.37,237.19,298.36,245.78,272.81,236.54,360.18,380.71,287.53,273.53,322.75,204.19,243.31,264.59,210.08,304.61,238.78,185.82,289.88,281.78,203.97,231.44,259.5,297.12,,23,969,35,27,969D6-(E1);
12.07.23 12:10:52,28.32,263.32,363.24,280.01,256.14,256.28,303.03,277.74,310.63,282.29,323.26,263.65,283.73,249.05,265.32,259.8,261.68,276.66,165.19,281.32,263.48,220.75,261.01,251.88,278.08,,23,969,35,27.03,969D6-(E1);
12.07.23 12:11:06,28.55,250.25,343.95,354.53,268.1,236.2,280.09,303.36,310.24,290.91,287.63,281.85,222.54,245.82,260.95,213.47,261.32,256.77,147,294.38,266.01,211.8,255.58,237.93,311.23,,23,969,35,27.05,969D6-(E1);
12.07.23 12:11:21,28.8,301.88,294.44,353.71,216.54,238.68,246.75,274.82,312.96,280.8,312.36,279.23,176.76,293.87,277.45,269.27,285.65,272.64,161.65,307.66,310.08,240.03,283.12,267.93,297.12,,23,969,35,27.09,969D6-(E1);
12.07.23 12:11:36,29.05,257.32,282.72,332.84,224.43,263.95,260.71,238.61,344.69,290.54,275.37,204.97,271.11,223.56,264.95,202.99,298.88,246.84,161,282.06,292.97,234.01,284.24,223.89,286.24,,23,969,35,27.12,969D6-(E1);
12.07.23 12:11:52,29.32,284.3,228.75,381.04,254.34,209.75,355.92,323.26,265.09,285.65,264.03,248.38,221.11,232.31,274.86,250.1,301.17,287.37,190.48,287.26,284,234.37,251.99,268.66,288.85,,23,969,35,27.16,969D6-(E1);
12.07.23 12:12:07,29.57,308.62,302.86,264.26,203.33,221.12,224.05,301.85,293,315.44,276.11,246.94,211.19,226.7,288.28,226.52,268.98,266.47,128.93,232.62,256.28,227.35,248.41,188.19,301.29,,23,969,35,27.19,969D6-(E1);
12.07.23 12:12:22,29.82,306.23,305.95,292.32,256.86,265.79,263.6,372.48,308.69,288.65,303.13,237.65,203.49,250.85,267.51,213.81,283.78,251.43,138.85,312.65,282.89,228.4,227.26,211.12,305.86,,23,969,35,27.22,969D6-(E1);
12.07.23 12:12:37,30.07,294.41,292.53,317.15,273.97,263.95,264.33,320.55,330.65,301.17,307.73,381.9,226.83,233.72,290.91,247.6,279.68,258.56,172.33,330.19,244.19,216.95,266.85,206.34,296.74,,23,969,35,27.23,969D6-(E1);
12.07.23 12:12:52,30.32,247.66,310.6,306.36,249.69,225.3,224.39,328.31,274.28,284.16,293.26,325.52,257.94,250.85,250.86,291.95,279.68,225.99,168.43,261.25,266.74,249.67,265.02,219.38,253.77,,23,969,35,27.28,969D6-(E1);
12.07.23 12:13:07,30.57,301.88,309.82,242.82,248.62,237.61,346.58,353.3,398.27,268.24,255.72,294.36,175.75,187.84,265.32,199.98,281.54,247.9,176.25,317.29,270.74,219.71,224.14,185.21,298.63,,23,969,35,27.3,969D6-(E1);
12.07.23 12:13:22,30.82,352.37,342.73,312.89,258.66,278.39,289.78,338.13,354.06,266.05,329.56,318.8,256.08,270.58,265.68,289.69,272.65,278.13,161.65,361.96,310.85,248.59,280.88,239,312.77,,23,969,35,27.33,969D6-(E1);
12.07.23 12:13:37,31.07,292.07,323.14,310.19,295.25,239.75,329.42,278.83,295.28,314.27,303.9,246.94,212.96,262.12,281.54,268.17,262.77,275.57,154.92,323.13,298.63,193.21,248.41,253.33,341.45,,23,969,35,27.37,969D6-(E1);
12.07.23 12:13:52,31.32,302.67,380.03,315.99,230.32,284.02,315.33,293.23,314.51,275.6,286.13,332.31,197.59,239.75,263.86,233.83,307.3,250.37,134.49,249.45,329.14,232.26,222.76,201.59,303.19,,23,969,35,27.4,969D6-(E1);
12.07.23 12:14:07,31.57,308.62,339.1,299.49,233.8,301.54,296.19,367.13,332.24,280.43,263.67,301.65,243.88,257.37,265.32,210.08,274.86,268.64,163.58,350.55,281.41,221.44,250.55,253.69,289.22,,23,969,35,27.43,969D6-(E1);
