Measurement Name :,run_5_light_7_12_23-583,,Generated On :,"12/07/2023, 15:04:15",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000583      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 050
Ref LED current   : 040
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
12.07.23 14:58:42,13.05,251.56,227.93,216.16,143.22,153.31,263.03,263.82,275.05,233.68,232.53,251.17,43.14,237.15,230.61,78.61,245.69,216.54,7.93,290.11,264.62,170.65,208.28,139.42,235.99,,23,969,35,24.47,969D6-(E1);
12.07.23 14:58:57,13.3,257.87,235.22,286.42,142.87,142.52,267.82,334.31,235.99,257.47,241.02,203.44,59.59,217.29,217.67,147.73,221.08,190.17,< 0 µmol,279.5,306.27,183.98,272.63,161.76,278.28,,23,969,35,24.47,969D6-(E1);
12.07.23 14:59:12,13.55,306.69,253.13,215.41,147.03,123.04,235.61,244.52,224.88,255.89,186.52,214.28,60.22,214.66,197.52,97.74,186.89,246.47,< 0 µmol,254.71,245.3,167.79,183.98,126.76,230.61,,23,969,35,24.47,969D6-(E1);
12.07.23 14:59:27,13.8,200.1,248.82,234.45,180.72,167.44,187.25,255.1,222.22,329.14,277.47,185.8,42.53,196.04,230.61,74.45,231.38,231.38,31.24,245.69,228.31,204.56,245.3,112.29,238.31,,23,969,35,24.47,969D6-(E1);
12.07.23 14:59:42,14.05,239.47,301.68,220.32,184.34,246.08,261.83,415.14,251.56,240.63,293.4,255.89,91.53,261.04,263.42,177.83,275.86,279.09,18.91,269.42,288.88,224.5,290.11,186.16,279.09,,23,969,35,24.48,969D6-(E1);
12.07.23 14:59:57,14.3,228.69,286.01,296.29,221.08,196.04,307.52,267.02,274.64,330,248.42,186.89,59.59,281.53,285.6,142.52,228.69,225.64,7.05,256.29,283.56,178.55,233.3,123.72,241.41,,23,969,35,24.48,969D6-(E1);
12.07.23 15:00:12,14.55,267.82,203.07,240.63,174.59,179.99,187.98,190.17,230.61,352.63,226.02,161.76,60.53,178.19,232.91,120.34,255.5,183.25,< 0 µmol,270.22,242.57,196.41,203.07,145.64,220.7,,23,969,35,24.48,969D6-(E1);
12.07.23 15:00:27,14.8,277.07,208.28,217.29,158.58,95.45,266.22,288.47,233.68,360.6,181.08,181.08,63.67,232.53,204.93,91.86,218.43,218.05,< 0 µmol,277.88,262.63,151.21,176.75,100.7,247.25,,23,969,35,24.48,969D6-(E1);
12.07.23 15:00:42,15.05,278.28,279.09,208.66,196.04,172.8,289.7,221.08,246.08,309.62,238.31,149.82,31.24,255.89,216.92,110.96,229.46,245.69,35.8,267.02,291.34,194.57,226.02,132.21,270.62,,23,969,35,24.48,969D6-(E1);
12.07.23 15:00:57,15.3,227.16,180.72,191.64,146.34,151.21,146.68,182.16,179.99,249.6,232.53,151.21,8.82,194.94,168.51,77.33,179.27,217.67,< 0 µmol,178.55,210.9,163.88,176.75,88.28,210.15,,23,969,35,24.48,969D6-(E1);
12.07.23 15:01:12,15.55,263.03,232.91,261.83,137.7,153.31,234.45,232.14,260.24,235.99,254.31,254.71,12.37,233.3,188.35,82.14,152.26,193.84,6.46,230.99,244.52,163.88,231.76,65.25,233.3,,23,969,35,24.48,969D6-(E1);
12.07.23 15:01:27,15.8,288.06,262.63,241.41,159.29,213.53,235.22,213.53,237.54,310.46,286.01,217.67,67.78,227.93,161.05,169.93,242.96,206.42,39.77,234.45,275.86,166.73,263.03,114.97,281.12,,23,969,35,24.48,969D6-(E1);
12.07.23 15:01:42,16.05,325.29,248.42,265.42,170.65,188.35,203.07,290.93,242.19,284.38,213.53,179.63,12.66,197.89,209.03,124.39,287.65,182.89,0,301.26,285.6,137.35,201.59,130.17,251.56,,23,969,35,24.48,969D6-(E1);
12.07.23 15:01:57,16.3,340.81,267.42,236.76,189.08,103.99,250.38,265.42,275.45,290.11,205.67,170.65,67.78,187.62,239.08,118.32,198.63,190.9,4.7,250.78,211.65,196.78,204.93,112.96,257.47,,23,969,35,24.48,969D6-(E1);
12.07.23 15:02:12,16.55,320.18,230.99,234.07,216.16,160.7,338.64,417.97,246.86,243.74,252.35,259.85,55.53,261.44,235.61,131.87,310.04,252.35,42.22,302.51,261.04,173.15,255.5,162.82,292.57,,23,969,35,24.48,969D6-(E1);
12.07.23 15:02:27,16.8,267.82,219.18,199.73,154.71,219.18,276.66,238.31,216.92,195.31,278.69,175.67,24.9,210.15,216.54,94.79,218.05,210.15,3.23,295.87,257.87,183.98,253.13,141.14,267.82,,23,969,35,24.48,969D6-(E1);
12.07.23 15:02:42,17.05,232.53,263.82,185.8,143.91,171.72,292.16,300.85,286.42,251.17,199.73,190.17,63.99,244.52,200.1,158.93,176.75,270.62,9.11,253.92,238.31,202.33,232.53,134.95,229.84,,23,969,35,24.48,969D6-(E1);
12.07.23 15:02:57,17.3,242.96,238.7,182.16,143.56,152.26,277.47,334.74,280.31,252.35,183.98,171.01,104.32,282.34,245.69,102.01,207.16,220.7,0,292.16,300.43,193.84,217.29,139.07,255.1,,23,969,35,24.48,969D6-(E1);
12.07.23 15:03:12,17.55,236.38,263.82,131.87,154.71,150.52,260.64,224.12,208.28,224.88,197.89,168.51,15.04,268.22,211.65,50.55,241.8,226.78,< 0 µmol,249.99,265.82,136.32,199,99.05,255.1,,23,969,35,24.48,969D6-(E1);
12.07.23 15:03:27,17.8,291.75,279.5,245.69,174.23,132.9,296.29,271.02,283.16,371.78,235.22,211.28,53.97,244.91,263.82,120.68,217.29,288.88,55.53,277.88,277.47,189.08,240.25,159.64,251.56,,23,969,35,24.48,969D6-(E1);
12.07.23 15:03:42,18.05,335.6,322.3,245.69,189.44,164.59,274.64,308.78,278.69,318.9,329.14,292.99,63.36,242.96,241.02,130.17,330.43,291.34,46.84,290.11,292.16,225.26,297.11,165.66,255.5,,23,969,35,24.48,969D6-(E1);
