Measurement Name :,run_1_dark_7_12_23-583,,Generated On :,"12/07/2023, 12:44:39",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000583      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 050
Ref LED current   : 040
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
12.07.23 12:33:59,12.03,275.05,275.86,277.88,235.61,239.47,273.03,290.11,286.83,292.99,265.02,256.29,198.63,263.03,265.42,239.08,272.63,279.9,143.91,297.11,296.7,260.24,275.45,210.15,281.53,,23,969,35,27.18,
12.07.23 12:34:14,12.28,274.24,275.05,278.28,234.84,239.47,272.23,288.88,285.2,292.16,263.82,256.29,197.52,262.63,264.62,238.7,271.83,278.28,143.56,295.87,295.87,259.45,275.05,209.4,279.9,,23,969,35,27.14,
12.07.23 12:34:29,12.53,273.84,275.05,276.26,234.45,238.7,271.02,287.65,284.79,291.34,263.42,255.5,197.15,261.83,263.82,238.31,269.82,278.69,142.52,293.81,295.05,258.66,274.24,208.28,279.09,,23,969,35,27.12,
12.07.23 12:34:44,12.78,274.24,274.24,275.86,234.45,236.38,271.42,286.83,284.38,289.7,262.23,254.31,195.68,261.44,263.42,237.92,270.22,277.88,141.83,293.81,295.05,258.66,273.44,208.28,278.28,,23,969,35,27.09,
12.07.23 12:34:59,13.03,272.23,273.03,275.45,234.45,237.54,270.22,286.01,283.16,289.7,261.44,252.74,195.68,260.64,263.42,237.54,267.82,276.26,141.49,292.16,293.81,258.26,271.02,207.54,277.07,,23,969,35,27.06,
12.07.23 12:35:14,13.28,270.22,271.42,273.44,233.3,235.22,268.62,286.01,282.75,288.47,259.85,252.74,194.94,260.24,261.83,236.38,267.82,275.86,139.76,291.34,292.57,257.08,271.02,205.67,274.64,,23,969,35,27.05,
12.07.23 12:35:29,13.53,270.22,271.83,273.44,232.91,234.45,267.02,283.97,282.75,288.06,259.06,252.35,193.84,259.06,262.63,235.99,267.82,275.45,139.42,292.16,292.57,256.29,271.02,204.93,274.64,,23,969,35,27.01,
12.07.23 12:35:44,13.78,270.22,271.83,272.23,232.53,233.3,267.42,281.53,281.12,287.65,257.87,251.17,193.47,258.26,260.64,235.22,266.62,275.05,138.73,290.93,291.75,256.29,270.22,203.44,274.24,,23,969,35,27,
12.07.23 12:35:59,14.03,270.22,271.83,271.02,233.68,234.07,266.22,282.34,281.94,286.83,258.66,251.17,193.47,257.08,259.85,234.84,266.22,274.64,137.7,289.29,291.34,256.68,268.22,203.44,273.44,,23,969,35,26.97,
12.07.23 12:36:14,14.28,267.42,270.62,271.02,232.91,232.14,266.62,279.5,280.31,284.79,256.68,249.21,192.74,257.47,259.85,234.45,264.22,273.84,137.35,288.88,290.11,255.5,268.22,201.96,271.83,,23,969,35,26.94,
12.07.23 12:36:29,14.53,265.42,270.22,270.62,231.76,231.38,265.02,279.09,279.09,283.97,256.29,248.82,192,255.89,259.06,233.3,263.03,273.44,136.32,287.24,289.7,254.71,267.82,200.84,271.42,,23,969,35,26.91,
12.07.23 12:36:44,14.78,265.42,268.22,269.02,230.99,231.38,263.82,278.69,278.69,284.38,255.1,247.25,190.9,255.89,257.87,232.53,261.83,271.83,135.64,286.83,288.47,253.92,266.22,200.1,271.02,,23,969,35,26.87,
12.07.23 12:36:59,15.03,266.22,268.62,268.22,230.99,230.22,262.23,277.47,277.07,283.16,254.31,245.3,190.17,255.1,257.47,231.76,261.83,271.42,134.61,287.65,288.06,253.53,265.02,199,269.82,,23,969,35,26.86,
12.07.23 12:37:14,15.28,265.42,267.42,266.62,230.61,229.84,263.42,278.28,275.86,282.75,253.53,246.47,189.81,255.1,255.5,231.76,261.04,269.82,133.92,286.01,287.24,252.74,265.82,197.89,268.62,,23,969,35,26.81,
12.07.23 12:37:29,15.53,263.03,268.22,265.82,230.61,228.69,261.44,276.66,275.45,280.72,252.35,245.3,188.71,254.31,255.1,231.38,261.04,269.42,133.24,284.38,285.6,252.35,263.82,198.26,268.22,,23,969,35,26.79,
12.07.23 12:37:44,15.78,263.42,267.42,264.62,230.22,229.08,259.85,275.45,273.84,280.72,251.95,243.74,187.98,253.13,254.71,230.61,259.45,268.62,132.55,283.97,284.79,252.35,263.03,196.04,267.42,,23,969,35,26.76,
12.07.23 12:37:59,16.03,263.03,265.82,265.82,229.08,227.93,260.24,275.05,273.84,280.31,251.17,242.57,187.62,252.74,254.71,229.84,259.06,269.02,132.55,283.16,285.2,251.17,263.03,196.78,267.02,,23,969,35,26.73,
12.07.23 12:38:14,16.28,261.04,265.42,264.62,229.84,227.16,258.66,274.24,272.63,278.28,250.38,243.35,186.16,251.56,253.92,229.84,259.85,268.22,131.19,281.12,285.2,251.56,262.23,196.04,265.42,,23,969,35,26.69,
12.07.23 12:38:29,16.53,259.45,264.62,263.42,228.31,226.02,257.87,272.63,271.83,278.28,249.6,240.63,185.43,250.38,252.35,227.93,257.08,267.02,129.48,280.31,284.38,249.6,261.04,195.31,264.62,,23,969,35,26.66,
12.07.23 12:38:44,16.78,259.06,264.62,261.83,227.93,225.26,257.08,271.83,271.42,276.26,248.42,239.86,185.8,249.21,251.56,227.93,256.68,267.02,128.8,279.5,283.56,249.21,258.66,194.21,264.22,,23,969,35,26.62,
12.07.23 12:38:59,17.03,257.87,263.82,262.63,226.78,225.26,256.29,271.02,270.62,275.86,247.64,238.7,184.34,248.82,250.78,227.93,255.5,266.22,129.14,279.5,281.94,249.6,259.06,192.37,263.82,,23,969,35,26.59,
12.07.23 12:39:14,17.28,255.89,261.04,261.83,226.78,223.36,255.5,268.22,269.02,274.64,246.86,238.31,183.62,248.03,251.17,226.78,254.31,265.42,127.78,280.31,280.31,248.42,257.87,192.37,262.63,,23,969,35,26.56,
12.07.23 12:39:29,17.53,255.89,260.64,261.44,226.78,223.36,253.92,267.42,267.82,274.64,245.69,238.7,182.89,246.86,250.38,226.02,253.92,264.62,127.1,279.5,280.31,247.64,257.87,190.54,262.23,,23,969,35,26.54,
12.07.23 12:39:44,17.78,254.71,260.24,261.44,226.78,223.74,253.13,267.42,267.82,272.63,244.91,238.31,182.89,246.86,250.38,225.26,252.74,263.42,127.44,279.5,279.5,248.03,257.87,189.81,261.04,,23,969,35,26.51,
12.07.23 12:39:59,18.03,253.53,258.26,259.06,225.26,222.98,251.95,267.02,266.22,272.23,244.13,237.54,182.16,245.3,249.99,224.5,251.56,263.82,125.75,279.5,278.69,247.25,257.08,188.71,261.04,,23,969,35,26.45,
12.07.23 12:40:14,18.28,253.53,258.66,259.85,225.26,220.7,250.38,265.82,266.22,271.42,242.96,236.38,181.44,245.69,249.21,224.88,251.95,263.03,125.41,277.47,279.09,246.86,256.29,188.35,260.24,,23,969,35,26.44,
12.07.23 12:40:29,18.53,253.13,258.26,259.06,225.26,221.08,250.78,265.82,263.82,270.62,243.74,237.15,181.44,244.91,248.82,224.12,250.78,262.63,125.07,275.86,278.28,246.08,254.71,188.71,258.26,,23,969,35,26.39,
12.07.23 12:40:44,18.78,252.35,258.26,257.87,224.12,219.18,249.99,263.82,265.42,270.22,242.19,235.61,179.63,243.35,247.64,222.98,250.38,260.24,123.72,275.86,277.07,245.69,254.31,186.52,257.87,,23,969,35,26.36,
12.07.23 12:40:59,19.03,250.78,256.68,257.47,222.98,218.05,247.64,261.83,263.42,269.42,241.41,235.22,179.63,243.35,247.25,222.98,248.03,261.04,123.72,274.64,276.26,244.91,252.74,186.16,257.87,,23,969,35,26.33,
12.07.23 12:41:14,19.28,251.17,255.1,255.89,222.98,217.29,248.03,261.44,261.83,269.82,240.63,233.68,178.55,242.19,246.47,222.22,247.25,260.24,122.36,274.24,276.66,243.74,251.17,185.43,257.08,,23,969,35,26.28,
12.07.23 12:41:29,19.53,249.6,254.31,256.29,222.6,216.54,247.64,260.64,261.83,269.02,239.47,233.3,177.83,241.41,246.08,221.08,247.25,259.85,121.69,274.24,273.84,243.35,249.99,185.07,256.29,,23,969,35,26.23,
12.07.23 12:41:44,19.78,250.38,253.13,255.1,221.84,217.67,246.86,259.85,261.04,266.62,238.7,232.53,177.47,241.02,245.3,220.7,245.69,258.66,121.35,272.63,274.64,242.96,248.42,184.34,254.31,,23,969,35,26.2,
12.07.23 12:41:59,20.03,248.82,253.13,253.92,221.46,215.41,246.08,258.26,260.24,266.22,237.54,230.61,176.39,240.25,245.69,219.94,245.69,258.26,120.34,273.03,273.84,243.35,247.64,183.62,253.92,,23,969,35,26.18,
12.07.23 12:42:14,20.28,248.42,251.17,252.74,221.08,213.53,244.91,257.87,260.64,265.02,236.38,230.99,175.67,239.47,244.91,219.94,243.35,258.66,119.67,272.23,270.62,241.41,248.03,182.89,252.74,,23,969,35,26.12,
12.07.23 12:42:29,20.53,248.03,250.78,253.13,220.7,213.9,244.52,256.29,257.47,264.62,235.22,231.76,175.67,239.08,244.52,219.56,243.35,256.29,119.33,270.22,271.42,241.41,247.64,182.89,252.35,,23,969,35,26.09,
12.07.23 12:42:44,20.78,247.64,249.99,250.78,219.94,212.4,242.19,255.5,258.26,263.42,234.84,230.22,174.95,237.54,242.96,218.81,242.57,256.29,118.66,269.42,269.42,241.02,245.3,181.08,251.56,,23,969,35,26.05,
12.07.23 12:42:59,21.03,246.86,250.38,250.78,219.18,212.03,242.96,255.1,258.66,262.63,234.45,228.69,174.23,237.92,242.57,217.29,242.19,256.29,117.99,269.42,269.02,240.63,245.3,180.72,250.78,,23,969,35,26.01,
12.07.23 12:43:14,21.28,244.52,248.42,250.78,218.81,210.9,243.35,254.71,256.68,262.23,234.07,227.93,173.51,237.15,241.41,217.29,241.8,255.5,117.31,269.02,268.62,239.86,244.52,179.63,250.78,,23,969,35,25.98,
12.07.23 12:43:29,21.53,245.3,249.21,249.6,218.43,210.53,243.35,253.53,255.5,261.44,233.3,229.08,173.15,236.38,241.41,216.54,240.63,253.53,116.98,267.42,267.82,239.86,244.52,179.27,250.38,,23,969,35,25.94,
12.07.23 12:43:44,21.78,244.91,248.82,249.21,217.67,210.15,241.41,253.53,255.89,261.44,232.91,229.08,172.08,234.45,240.63,216.16,239.47,253.13,116.31,267.02,266.22,238.7,243.35,179.27,250.38,,23,969,35,25.9,
12.07.23 12:43:59,22.03,243.35,247.64,248.42,217.67,209.03,241.02,251.95,254.31,259.85,230.99,226.02,171.36,233.3,240.25,215.03,239.08,251.95,114.97,267.02,265.82,237.92,244.13,178.19,249.21,,23,969,35,25.86,
